Date,Australia,,Belgium,,Bulgaria,,Canada,,France,,Germany,,Greece,,Hong Kong,,Ireland,,Italy,,Japan,,Malaysia,,Mexico,,Netherlands,,New Zealand,,Portugal,,Singapore,,South Africa,,Spain,,Turkey,,UK,,US
2/23/1973,158.43,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,92.57,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,NA,2/23/1973,792.88,2/23/1973,101.44
2/26/1973,155.15,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,94.62,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,NA,2/26/1973,787.93,2/26/1973,97.82
2/27/1973,153.17,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,95.56,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,NA,2/27/1973,784.64,2/27/1973,96.27
2/28/1973,150.06,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,97.41,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,NA,2/28/1973,774.01,2/28/1973,95.41
3/1/1973,148.61,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,100.84,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,NA,3/1/1973,767.3,3/1/1973,96.01
3/2/1973,146.43,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,100.72,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,NA,3/2/1973,741.11,3/2/1973,96.02
3/5/1973,146.63,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,98.09,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,NA,3/5/1973,742.47,3/5/1973,95.01
3/6/1973,146.99,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,95.6,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,NA,3/6/1973,774.58,3/6/1973,92.64
3/7/1973,146.37,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,91.14,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,NA,3/7/1973,781.62,3/7/1973,90.27
3/8/1973,146.69,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,94.7,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,NA,3/8/1973,776.58,3/8/1973,90.23
