Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,,,,,,,,,,,,,,,,1.56E+11,1.44E+11,1.41E+11,2.20E+11,2.16E+11,2.04E+11,1.74E+11,1.74E+11,2.24E+11,2.17E+11,4.23E+11,6.87E+11,7.14E+11,9.14E+11,1.29E+12,1.16E+12,1.32E+12,1.17E+12,1.50E+12,1.70E+12,2.02E+12,2.47E+12,3.02E+12,4.07E+12,6.04E+12,5.80E+12,4.72E+12,3.81E+12,5.45E+12,6.24E+12,6.31E+12,8.67E+12,1.05E+13,5.19E+12,6.24E+12,6.17E+12,5.17E+12,5.85E+12,7.34E+12,6.62E+12,6.29E+12,6.35E+12,8.20E+12,5.77E+12,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,2759400000,4133730000,,5854860000,11691930000,19985100000,30549200000,30789380000,22721300000,14199400000,11953800000,23524610000,38230500000,44137530000,61356300000,73804290000,1.55E+11,3.49E+11,2.94E+11,1.90E+11,1.39E+11,1.70E+11,1.84E+11,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,35299950000,27399770000,27928580000,45382360000,55254080000,54616100000,38127490000,29645950000,38139680000,41058210000,79096030000,1.54E+11,1.56E+11,2.23E+11,3.38E+11,3.12E+11,3.58E+11,3.27E+11,4.56E+11,4.53E+11,5.00E+11,5.86E+11,6.74E+11,9.85E+11,1.50E+12,1.45E+12,1.17E+12,9.67E+11,1.36E+12,1.56E+12,1.76E+12,2.43E+12,2.74E+12,1.47E+12,1.95E+12,1.91E+12,1.55E+12,1.81E+12,2.30E+12,2.09E+12,2.09E+12,2.16E+12,2.75E+12,2.37E+12,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
